OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,52.949,162.49333,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.258,0.79177,OK
RG-20516-S-2,Buckman #4,6.568,20.15630,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.041,0.12582,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,0.026,0.07979,OK
RG-20516-S-9,Buckman #9,0.025,0.07672,OK
RG-20516-S-10,Buckman #10,19.639,60.26944,OK
RG-20516-S-11,Buckman #11,0.018,0.05524,OK
RG-20516-S-12,Buckman #12,0.000,0.00000,OK
RG-20516-S-13,Buckman #13,18.898,57.99541,OK
Calculated_Sum,,98.422,302.04382,
