OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,40.525,124.36575,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,2.783,8.54065,OK
RG-20516-S-2,Buckman #4,2.688,8.24911,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,23.494,72.09991,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,0.567,1.74005,OK
RG-20516-S-9,Buckman #9,0.021,0.06445,OK
RG-20516-S-10,Buckman #10,14.409,44.21927,OK
RG-20516-S-11,Buckman #11,0.017,0.05217,OK
RG-20516-S-12,Buckman #12,1.666,5.11273,OK
RG-20516-S-13,Buckman #13,22.650,69.50979,OK
Calculated_Sum,,108.820,333.95387,
