OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,14.709,45.13993,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.016,0.04910,OK
RG-20516-S-2,Buckman #4,1.047,3.21310,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,13.179,40.44457,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,0.855,2.62388,OK
RG-20516-S-9,Buckman #9,0.016,0.04910,OK
RG-20516-S-10,Buckman #10,7.854,24.10286,OK
RG-20516-S-11,Buckman #11,2.377,7.29469,OK
RG-20516-S-12,Buckman #12,0.986,3.02590,OK
RG-20516-S-13,Buckman #13,5.100,15.65121,OK
Calculated_Sum,,46.139,141.59436,
