Well,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
1,16.89,38.81,10.88,40.7,41.5,68.45,162.49,124.37,45.14,52.05,0.0,0.0,601.28
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
3,0.0,0.07,0.06,0.07,0.38,23.11,0.79,8.54,0.05,6.38,16.73,0.05,56.23
4,0.0,0.01,0.17,0.08,0.08,24.47,20.16,8.25,3.21,6.9,0.0,0.0,63.34
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.15,0.2,0.97,0.0,19.54,5.61,0.13,72.1,40.44,13.09,0.0,0.0,152.22
7,0.08,0.11,0.07,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,2.1,0.05,0.87,2.85,26.93,11.13,0.08,1.74,2.62,15.6,0.0,47.5,111.47
9,0.07,0.06,0.06,0.05,0.05,0.05,0.08,0.06,0.05,0.0,0.0,0.0,0.52
10,0.1,0.08,0.0,0.0,0.18,0.07,60.27,44.22,24.1,10.08,0.08,12.24,151.42
11,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.05,7.29,0.0,3.61,2.55,13.62
12,0.0,0.0,0.0,0.0,0.0,0.08,0.0,5.11,3.03,0.2,0.08,1.3,9.8
13,0.0,0.0,0.0,0.0,0.0,34.99,58.0,69.51,15.65,31.54,0.29,2.04,212.02
Total,19.38,39.39,13.09,44.49,88.65,168.02,302.04,333.95,141.59,135.84,20.79,65.69,1372.92
,,,,,,,,,,,,,
Wells 10-13,386.86,28.2%,,,,,,,,,,,
"Wells 1,7,8",713.75,52.0%,,,,,,,,,,,
