OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,5.502,16.88502,16.88,NOT_OK,355454
RG-20516-S-6,Buckman #2,0.000,0.00000,0.00,OK,3
RG-20516-S,Buckman #3,0.000,0.00000,0.00,OK,16351
RG-20516-S-2,Buckman #4,0.000,0.00000,0.00,OK,47620
RG-20516-S-3,Buckman #5,0.000,0.00000,0.00,OK,17085
RG-20516-S-4,Buckman #6,0.049,0.15038,0.15,OK,72884
RG-20516-S-7,Buckman #7,0.025,0.07672,0.08,OK,4266
RG-20516-S-8,Buckman #8,0.684,2.09912,2.10,OK,151022
RG-20516-S-9,Buckman #9,0.022,0.06752,0.07,OK,14854
RG-20516-S-10,Buckman #10,0.032,0.09820,0.10,OK,42491
RG-20516-S-11,Buckman #11,0.000,0.00000,0.00,OK,34119
RG-20516-S-12,Buckman #12,0.000,0.00000,0.00,OK,4676
RG-20516-S-13,Buckman #13,0.000,0.00000,0.00,OK,210276
Calculated_Sum,,6.314,19.38000,,,
Total_Verification,,NOT_OK,NOT_OK,,,
