OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,12.645,38.80608,38.81,OK,368099
RG-20516-S-6,Buckman #2,0.000,0.00000,0.00,OK,3
RG-20516-S,Buckman #3,0.022,0.06752,0.07,OK,16404
RG-20516-S-2,Buckman #4,0.004,0.01228,0.01,OK,60976
RG-20516-S-3,Buckman #5,0.000,0.00000,0.00,OK,17085
RG-20516-S-4,Buckman #6,0.065,0.19948,0.20,OK,72949
RG-20516-S-7,Buckman #7,0.037,0.11355,0.11,OK,4303
RG-20516-S-8,Buckman #8,0.016,0.04910,0.05,OK,151038
RG-20516-S-9,Buckman #9,0.018,0.05524,0.06,OK,14872
RG-20516-S-10,Buckman #10,0.027,0.08286,0.08,OK,42517
RG-20516-S-11,Buckman #11,0.000,0.00000,0.00,OK,34119
RG-20516-S-12,Buckman #12,0.000,0.00000,0.00,OK,4676
RG-20516-S-13,Buckman #13,0.000,0.00000,0.00,OK,210276
Calculated_Sum,,12.834,39.39000,,,
PDF_Total,Total Buckman Wells,12.833,,39.38,,
Total_Verification,,OK,NOT_OK,,,
