OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,3.545,10.87921,10.88,OK,371644
RG-20516-S-6,Buckman #2,0.000,0.00000,0.00,OK,3
RG-20516-S,Buckman #3,0.021,0.06445,0.07,NOT_OK,16425
RG-20516-S-2,Buckman #4,0.057,0.17493,0.17,OK,61033
RG-20516-S-3,Buckman #5,0.000,0.00000,0.00,OK,17085
RG-20516-S-4,Buckman #6,0.316,0.96977,0.97,OK,73265
RG-20516-S-7,Buckman #7,0.024,0.07365,0.07,OK,4327
RG-20516-S-8,Buckman #8,0.282,0.86543,0.86,NOT_OK,151319
RG-20516-S-9,Buckman #9,0.021,0.06445,0.06,OK,14893
RG-20516-S-10,Buckman #10,0.000,0.00000,0.00,OK,42518
RG-20516-S-13,Buckman #13,0.000,0.00000,0.00,OK,210276
Calculated_Sum,,4.266,13.08000,,,
PDF_Total,Total Buckman Wells,4.266,,13.09,,
Total_Verification,,OK,NOT_OK,,,
