OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,13.261,40.69651,40.70,OK,384905
RG-20516-S-6,Buckman #2,0.000,0.00000,0.00,OK,3
RG-20516-S,Buckman #3,0.022,0.06752,0.07,OK,16447
RG-20516-S-2,Buckman #4,0.027,0.08286,0.08,OK,61059
RG-20516-S-3,Buckman #5,0.000,0.00000,0.00,OK,17085
RG-20516-S-4,Buckman #6,0.000,0.00000,0.00,OK,73265
RG-20516-S-7,Buckman #7,0.240,0.73653,0.74,OK,4567
RG-20516-S-8,Buckman #8,0.929,2.85100,2.85,OK,152249
RG-20516-S-9,Buckman #9,0.016,0.04910,0.05,OK,14909
RG-20516-S-10,Buckman #10,0.000,0.00000,0.00,OK,42518
RG-20516-S-11,Buckman #11,0.000,0.00000,0.00,OK,34119
RG-20516-S-12,Buckman #12,0.000,0.00000,0.00,OK,4676
RG-20516-S-13,Buckman #13,0.000,0.00000,0.00,OK,210276
Calculated_Sum,,14.495,44.49000,,,
PDF_Total,Total Buckman Wells,14.496,,44.49,,
Total_Verification,,OK,OK,,,
