OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,13.524,41.50363,41.50,OK,398430
RG-20516-S-6,Buckman #2,0.000,0.00000,0.00,OK,3
RG-20516-S-2,Buckman #4,0.028,0.08593,0.08,NOT_OK,61086
RG-20516-S-3,Buckman #5,0.000,0.00000,0.00,OK,17085
RG-20516-S-4,Buckman #6,6.365,19.53347,19.53,OK,79630
RG-20516-S-7,Buckman #7,0.000,0.00000,0.00,OK,4567
RG-20516-S-8,Buckman #8,8.774,26.92642,26.93,OK,161005
RG-20516-S-9,Buckman #9,0.015,0.04603,0.05,OK,14924
RG-20516-S-10,Buckman #10,0.059,0.18106,0.18,OK,42577
RG-20516-S-11,Buckman #11,0.000,0.00000,0.00,OK,34119
RG-20516-S-12,Buckman #12,0.000,0.00000,0.00,OK,4676
RG-20516-S-13,Buckman #13,0.000,0.00000,0.00,OK,210276
Calculated_Sum,,28.765,88.27000,,,
PDF_Total,Total Buckman Wells,28.890,,88.66,,
Total_Verification,,NOT_OK,NOT_OK,,,
