OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,22.305,68.45153,68.45,OK,420819
RG-20516-S-6,Buckman #2,0.001,0.00307,0.00,OK,4
RG-20516-S,Buckman #3,7.532,23.11486,23.11,OK,24103
RG-20516-S-2,Buckman #4,7.974,24.47131,24.47,OK,68650
RG-20516-S-4,Buckman #6,1.827,5.60686,5.61,OK,81457
RG-20516-S-7,Buckman #7,0.000,0.00000,0.00,OK,4567
RG-20516-S-8,Buckman #8,3.627,11.13085,11.13,OK,164632
RG-20516-S-9,Buckman #9,0.017,0.05217,0.05,OK,14941
RG-20516-S-10,Buckman #10,0.022,0.06752,0.07,OK,42599
RG-20516-S-11,Buckman #11,0.019,0.05831,0.06,OK,34137
RG-20516-S-12,Buckman #12,0.027,0.08286,0.08,OK,4703
RG-20516-S-13,Buckman #13,11.400,34.98532,34.99,OK,221100
Calculated_Sum,,54.751,168.02000,,,
PDF_Total,Total Buckman Wells,54.751,,168.02,,
Total_Verification,,OK,OK,,,
