OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,40.526,124.36973,124.37,OK,514291
RG-20516-S-6,Buckman #2,0.000,0.00000,0.00,OK,4
RG-20516-S,Buckman #3,2.782,8.53764,8.54,OK,27144
RG-20516-S-2,Buckman #4,2.687,8.24610,8.25,OK,77905
RG-20516-S-4,Buckman #6,23.495,72.10351,72.10,OK,104993
RG-20516-S-7,Buckman #7,0.000,0.00000,0.00,OK,4567
RG-20516-S-8,Buckman #8,0.567,1.74006,1.74,OK,165592
RG-20516-S-9,Buckman #9,0.021,0.06445,0.06,OK,14987
RG-20516-S-10,Buckman #10,14.409,44.21960,44.22,OK,76648
RG-20516-S-11,Buckman #11,0.017,0.05217,0.05,OK,34172
RG-20516-S-12,Buckman #12,1.666,5.11277,5.11,OK,6369
RG-20516-S-13,Buckman #13,22.650,69.51030,69.51,OK,262648
Calculated_Sum,,108.820,333.95000,,,
PDF_Total,Total Buckman Wells,108.820,,333.96,,
Total_Verification,,OK,NOT_OK,,,
