OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,14.703,45.12185,45.14,NOT_OK,529000
RG-20516-S-6,Buckman #2,0.000,0.00000,0.00,OK,4
RG-20516-S-2,Buckman #4,1.048,3.21619,3.21,NOT_OK,78953
RG-20516-S-4,Buckman #6,13.178,40.44180,40.44,OK,116171
RG-20516-S-7,Buckman #7,0.000,0.00000,0.00,OK,4567
RG-20516-S-8,Buckman #8,0.856,2.62697,2.63,OK,166447
RG-20516-S-11,Buckman #11,2.378,7.29781,7.30,OK,36550
RG-20516-S-12,Buckman #12,0.986,3.02592,3.03,OK,7355
RG-20516-S-13,Buckman #13,5.100,15.65133,15.65,OK,267748
Calculated_Sum,,38.249,117.40000,,,
PDF_Total,Total Buckman Wells,46.137,,141.59,,
Total_Verification,,NOT_OK,NOT_OK,,,
