OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-5,Buckman #1,16.959,52.04526,52.04,NOT_OK,545958
RG-20516-S-6,Buckman #2,0.002,0.00614,0.01,OK,6
RG-20516-S,Buckman #3,2.079,6.38022,6.38,OK,29238
RG-20516-S-2,Buckman #4,2.248,6.89886,6.90,OK,81201
RG-20516-S-3,Buckman #5,0.000,0.00000,0.00,OK,17085
RG-20516-S-7,Buckman #7,0.000,0.00000,0.00,OK,4567
RG-20516-S-8,Buckman #8,5.081,15.59302,15.59,OK,171529
RG-20516-S-9,Buckman #9,0.000,0.00000,0.00,OK,15003
RG-20516-S-10,Buckman #10,3.285,10.08129,10.08,OK,87785
RG-20516-S-11,Buckman #11,0.000,0.00000,0.00,OK,36550
RG-20516-S-12,Buckman #12,0.065,0.19948,0.20,OK,7420
RG-20516-S-13,Buckman #13,10.277,31.53895,31.54,OK,278025
Calculated_Sum,,39.996,122.74000,,,
PDF_Total,Total Buckman Wells,44.260,,135.83,,
Total_Verification,,NOT_OK,NOT_OK,,,
