OSE_Number,Well_Name,MG_Month,AF_Calculated,AF_Reported,AF_Verification,Meter_Reading
RG-20516-S-6,Buckman #2,0.000,0.00000,0.00,OK,6
RG-20516-S,Buckman #3,5.450,16.72544,16.73,OK,34688
RG-20516-S-2,Buckman #4,0.000,0.00000,0.00,OK,81201
RG-20516-S-3,Buckman #5,0.000,0.00000,0.00,OK,17085
RG-20516-S-4,Buckman #6,0.000,0.00000,0.00,OK,122436
RG-20516-S-7,Buckman #7,0.000,0.00000,0.00,OK,4567
RG-20516-S-8,Buckman #8,0.000,0.00000,0.00,OK,171529
RG-20516-S-9,Buckman #9,0.000,0.00000,0.00,OK,15003
RG-20516-S-10,Buckman #10,0.025,0.07672,0.08,OK,87810
RG-20516-S-11,Buckman #11,1.177,3.61208,3.61,OK,37727
RG-20516-S-12,Buckman #12,0.025,0.07672,0.08,OK,7445
RG-20516-S-13,Buckman #13,0.096,0.29461,0.29,OK,278121
Calculated_Sum,,6.773,20.79000,,,
PDF_Total,Total Buckman Wells,6.773,,20.79,,
Total_Verification,,OK,OK,,,
