Well,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Buckman #1,16.88502,38.80608,10.87921,40.69651,41.50363,68.45153,NOT_OK,124.36973,45.12185,52.04526,NOT_OK,NOT_OK,438.758820
Buckman #2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00307,NOT_OK,0.00000,0.00000,0.00614,0.00000,NOT_OK,0.009210
Buckman #3,0.00000,0.06752,0.06445,0.06752,NOT_OK,23.11486,NOT_OK,8.53764,NOT_OK,6.38022,16.72544,NOT_OK,54.957650
Buckman #4,0.00000,0.01228,0.17493,0.08286,0.08593,24.47131,NOT_OK,8.24610,3.21619,6.89886,0.00000,NOT_OK,43.188460
Buckman #5,0.00000,0.00000,0.00000,0.00000,0.00000,NOT_OK,NOT_OK,NOT_OK,NOT_OK,0.00000,0.00000,NOT_OK,NOT_OK
Buckman #6,0.15038,0.19948,0.96977,0.00000,19.53347,5.60686,NOT_OK,72.10351,40.44180,NOT_OK,0.00000,NOT_OK,139.005270
Buckman #7,0.07672,0.11355,0.07365,0.73653,0.00000,0.00000,NOT_OK,0.00000,0.00000,0.00000,0.00000,0.00000,1.000450
Buckman #8,2.09912,0.04910,0.86543,2.85100,26.92642,11.13085,NOT_OK,1.74006,2.62697,15.59302,0.00000,47.49717,111.379140
Buckman #9,0.06752,0.05524,0.06445,0.04910,0.04603,0.05217,NOT_OK,0.06445,NOT_OK,0.00000,0.00000,0.00000,0.398960
Buckman #10,0.09820,0.08286,0.00000,0.00000,0.18106,0.06752,NOT_OK,44.21960,NOT_OK,10.08129,0.07672,12.23565,67.042900
Buckman #11,0.00000,0.00000,NOT_OK,0.00000,0.00000,0.05831,NOT_OK,0.05217,7.29781,0.00000,3.61208,2.54718,13.567550
Buckman #12,0.00000,0.00000,NOT_OK,0.00000,0.00000,0.08286,NOT_OK,5.11277,3.02592,0.19948,0.07672,NOT_OK,8.497750
Buckman #13,0.00000,0.00000,0.00000,0.00000,0.00000,34.98532,NOT_OK,69.51030,15.65133,31.53895,0.29461,2.04388,154.024390
Total,19.376960,39.386110,13.091890,44.483520,88.276540,168.024660,NOT_OK,333.956330,117.381870,122.743220,20.785570,64.323880,1031.830550
