OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,22.306,68.45410,OK
RG-20516-S-6,Buckman #2,0.001,0.00307,OK
RG-20516-S,Buckman #3,7.530,23.10855,OK
RG-20516-S-2,Buckman #4,7.973,24.46806,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,1.827,5.60682,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,3.628,11.13384,OK
RG-20516-S-9,Buckman #9,0.017,0.05217,OK
RG-20516-S-10,Buckman #10,0.022,0.06752,OK
RG-20516-S-11,Buckman #11,0.019,0.05831,OK
RG-20516-S-12,Buckman #12,0.027,0.08286,OK
RG-20516-S-13,Buckman #13,11.400,34.98506,OK
Calculated_Sum,,54.750,168.02035,
