OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,16.960,52.04795,OK
RG-20516-S-6,Buckman #2,0.002,0.00614,OK
RG-20516-S,Buckman #3,2.079,6.38017,OK
RG-20516-S-2,Buckman #4,2.247,6.89574,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,4.265,13.08871,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,5.082,15.59597,OK
RG-20516-S-9,Buckman #9,0.000,0.00000,OK
RG-20516-S-10,Buckman #10,3.286,10.08429,OK
RG-20516-S-11,Buckman #11,0.000,0.00000,OK
RG-20516-S-12,Buckman #12,0.065,0.19948,OK
RG-20516-S-13,Buckman #13,10.277,31.53872,OK
Calculated_Sum,,44.263,135.83717,
