Well,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
1,16.887963,38.805796,10.882195,40.702355,41.50026,68.4541,162.493326,124.365749,45.139933,52.047948,0.0,0.0,601.279624
2,0.0,0.0,0.0,0.0,0.0,0.003069,0.0,0.0,0.0,0.006138,0.0,0.0,0.009207
3,0.0,0.067515,0.064446,0.067515,0.380539,23.108552,0.791767,8.540651,0.049102,6.38017,16.725314,0.052171,56.227742
4,0.0,0.012275,0.174925,0.082859,0.082859,24.46806,20.156304,8.249109,3.213102,6.895739,0.0,0.0,63.335233
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.150374,0.199476,0.969761,0.0,19.536394,5.606816,0.125823,72.099911,40.44457,13.088709,0.0,0.0,152.221835
7,0.076722,0.113548,0.073653,0.736528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00045
8,2.099104,0.049102,0.86542,2.850975,26.92622,11.133842,0.07979,1.740046,2.623879,15.595971,0.0,47.502959,111.46731
9,0.067515,0.05524,0.064446,0.049102,0.046033,0.052171,0.076722,0.064446,0.049102,0.0,0.0,0.0,0.524776
10,0.098204,0.082859,0.0,0.0,0.181063,0.067515,60.269437,44.219274,24.102865,10.08429,0.076722,12.235564,151.417792
11,0.0,0.0,0.0,0.0,0.0,0.058308,0.05524,0.052171,7.294692,0.0,3.612054,2.547158,13.619622
12,0.0,0.0,0.0,0.0,0.0,0.082859,0.0,5.112729,3.025901,0.199476,0.076722,1.304268,9.801954
13,0.0,0.0,0.0,0.0,0.0,34.985059,57.995408,69.509789,15.651211,31.538724,0.294611,2.043864,212.018667
Total,19.379882,39.385812,13.094846,44.489334,88.653368,168.020351,302.043818,333.953874,141.594356,135.837165,20.785422,65.685984,1372.924212
,,,,,,,,,,,,,
Wells 10-13,386.858035,28.2%,,,,,,,,,,,
"Wells 1,7,8",713.747384,52.0%,,,,,,,,,,,
