OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,26.576,81.55815,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.000,0.00000,OK
RG-20516-S-2,Buckman #4,6.370,19.54867,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,12.943,39.72032,OK
RG-20516-S-7,Buckman #7,0.412,1.26437,OK
RG-20516-S-8,Buckman #8,8.931,27.40803,OK
RG-20516-S-9,Buckman #9,0.015,0.04603,OK
RG-20516-S-10,Buckman #10,0.032,0.09820,OK
RG-20516-S-11,Buckman #11,0.023,0.07058,OK
RG-20516-S-12,Buckman #12,0.031,0.09513,OK
RG-20516-S-13,Buckman #13,1.523,4.67388,OK
Calculated_Sum,,56.856,174.48338,
