OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,0.036,0.11048,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.016,0.04910,OK
RG-20516-S-2,Buckman #4,0.005,0.01534,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.033,0.10127,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,0.023,0.07058,OK
RG-20516-S-9,Buckman #9,0.017,0.05217,OK
RG-20516-S-10,Buckman #10,0.070,0.21482,OK
RG-20516-S-11,Buckman #11,1.068,3.27755,OK
RG-20516-S-12,Buckman #12,0.024,0.07365,OK
RG-20516-S-13,Buckman #13,0.029,0.08900,OK
Calculated_Sum,,1.321,4.05397,
