OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,45.892,140.83635,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,10.034,30.79299,OK
RG-20516-S-2,Buckman #4,12.898,39.58222,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,39.297,120.59718,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,21.832,66.99946,OK
RG-20516-S-9,Buckman #9,3.108,9.53803,OK
RG-20516-S-10,Buckman #10,20.796,63.82011,OK
RG-20516-S-11,Buckman #11,6.528,20.03355,OK
RG-20516-S-12,Buckman #12,4.281,13.13781,OK
RG-20516-S-13,Buckman #13,0.000,0.00000,OK
Calculated_Sum,,164.666,505.33770,
