OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,20.476,62.83808,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.020,0.06138,OK
RG-20516-S-2,Buckman #4,1.930,5.92291,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,13.597,41.72736,OK
RG-20516-S-7,Buckman #7,0.004,0.01228,OK
RG-20516-S-8,Buckman #8,3.957,12.14350,OK
RG-20516-S-9,Buckman #9,0.002,0.00614,OK
RG-20516-S-10,Buckman #10,6.599,20.25144,OK
RG-20516-S-11,Buckman #11,4.532,13.90810,OK
RG-20516-S-12,Buckman #12,1.762,5.40734,OK
RG-20516-S-13,Buckman #13,0.022,0.06752,OK
Calculated_Sum,,52.901,162.34602,
