OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,1.550,4.75674,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.016,0.04910,OK
RG-20516-S-2,Buckman #4,0.021,0.06445,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.340,1.04341,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,0.020,0.06138,OK
RG-20516-S-9,Buckman #9,0.000,0.00000,OK
RG-20516-S-10,Buckman #10,6.448,19.78804,OK
RG-20516-S-11,Buckman #11,0.018,0.05524,OK
RG-20516-S-12,Buckman #12,0.026,0.07979,OK
RG-20516-S-13,Buckman #13,0.000,0.00000,OK
Calculated_Sum,,8.439,25.89815,
