OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,0.000,0.00000,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.000,0.00000,OK
RG-20516-S-2,Buckman #4,0.000,0.00000,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.000,0.00000,OK
RG-20516-S-7,Buckman #7,0.002,0.00614,OK
RG-20516-S-8,Buckman #8,0.000,0.00000,OK
RG-20516-S-9,Buckman #9,4.450,13.65645,OK
RG-20516-S-10,Buckman #10,2.722,8.35345,OK
RG-20516-S-11,Buckman #11,3.312,10.16408,OK
RG-20516-S-12,Buckman #12,0.032,0.09820,OK
RG-20516-S-13,Buckman #13,2.101,6.44769,OK
Calculated_Sum,,12.619,38.72601,
