OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,25.102,77.03465,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.019,0.05831,OK
RG-20516-S-2,Buckman #4,7.499,23.01342,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.039,0.11969,OK
RG-20516-S-7,Buckman #7,0.001,0.00307,OK
RG-20516-S-8,Buckman #8,0.023,0.07058,OK
RG-20516-S-9,Buckman #9,0.014,0.04296,OK
RG-20516-S-10,Buckman #10,0.032,0.09820,OK
RG-20516-S-11,Buckman #11,6.220,19.08834,OK
RG-20516-S-12,Buckman #12,3.353,10.28990,OK
RG-20516-S-13,Buckman #13,3.092,9.48893,OK
Calculated_Sum,,45.394,139.30805,
