OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,12.523,38.43139,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.027,0.08286,OK
RG-20516-S-2,Buckman #4,3.345,10.26535,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,5.048,15.49163,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,4.600,14.11678,OK
RG-20516-S-9,Buckman #9,0.014,0.04296,OK
RG-20516-S-10,Buckman #10,4.783,14.67838,OK
RG-20516-S-11,Buckman #11,4.504,13.82217,OK
RG-20516-S-12,Buckman #12,7.275,22.32599,OK
RG-20516-S-13,Buckman #13,1.387,4.25652,OK
Calculated_Sum,,43.506,133.51403,
