OSE_Number,Well_Name,MG_Month,AF_Calculated,Data_Quality
RG-20516-S-5,Buckman #1,0.039,0.11969,OK
RG-20516-S-6,Buckman #2,0.000,0.00000,OK
RG-20516-S,Buckman #3,0.015,0.04603,OK
RG-20516-S-2,Buckman #4,0.022,0.06752,OK
RG-20516-S-3,Buckman #5,0.000,0.00000,OK
RG-20516-S-4,Buckman #6,0.035,0.10741,OK
RG-20516-S-7,Buckman #7,0.000,0.00000,OK
RG-20516-S-8,Buckman #8,0.018,0.05524,OK
RG-20516-S-9,Buckman #9,0.000,0.00000,OK
RG-20516-S-10,Buckman #10,0.038,0.11662,OK
RG-20516-S-11,Buckman #11,0.017,0.05217,OK
RG-20516-S-12,Buckman #12,0.025,0.07672,OK
RG-20516-S-13,Buckman #13,0.068,0.20868,OK
Calculated_Sum,,0.277,0.85008,
