Well:,1,2,3/3A,4,5,6,7,8,9,10,11,12,13,Total,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,"Total, Sort",Unnamed: 20
1988,547.85,742.16,82.49,465.34,52.44,581.03,,,,,,,,2471.31,,,,,15,
1989,563.1,1271.65,260.73,1049.03,146.3,1259.71,,,,,,,,4550.52,,,,,24,
1990,333.83,840.18,263.18,1041.18,142.5,1202.73,,,,,,,,3823.6,,,,,23,
1991,200.79,544.79,177.28,625.51,109.6,801.59,301.83,377.5,,,,,,3138.89,,,,,18,
1992,194.44,729.85,112.18,497.37,48.19,1215.33,993.01,961.78,,,,,,4752.15,,,,,27,
1993,692.78,735.49,137.31,647.47,140.81,1222.32,1070.03,962.28,,,,,,5608.49,,,,,33,
1994,707.94,743.24,125.12,667.62,242.34,1051.71,638.06,777.44,,,,,,4953.47,,,,,28,
1995,945.4,824.76,351.55,765.18,384.14,1009.37,861.37,778.63,,,,,,5920.4,,,,,37,
1996,935.43,707.33,616.53,631.95,437.94,972.46,592.58,781.45,,,,,,5675.67,,,,,34,
1997,924.65,815.53,467.03,453.35,139.11,1030.86,497.11,347.11,,,,,,4674.75,,,,,25,
1998,680.42,878.84,457.5,399.05,110.57,1042.8,742.71,923.63,,,,,,5235.52,,,,,31,
1999,624.75,841.62,415.54,353.42,0.0,993.7,1159.01,890.5,,,,,,5278.54,,,,,32,
2000,626.28,720.21,519.3,266.5,0.0,914.97,1169.1,864.24,,,,,,5080.6,,,,,29,
2001,716.03,489.8,436.06,354.01,0.0,1037.41,1032.51,677.52,,,,,,4743.34,,,,,26,
2002,730.45,583.98,416.69,554.62,265.43,1272.77,1145.18,866.53,,,,,,5835.65,,,,,36,
2003,508.17,540.25,337.84,368.17,234.42,1187.87,987.07,780.44,292.08,0.03,251.23,259.45,60.07,5807.09,,,,,35,
2004,26.51,6.17,73.44,555.22,3.76,958.14,277.25,652.62,5.67,453.64,710.82,948.33,1265.27,5936.84,,,,,38,
2005,4.99,6.39,105.14,510.34,1.04,367.4,1223.04,797.05,1.73,22.76,367.91,216.31,160.25,3784.35,,,,,20,
2006,20.0,150.23,247.19,612.03,7.66,1076.65,237.57,814.32,54.37,656.51,824.75,88.36,407.43,5197.07,,,,,30,
2007,398.5,8.63,183.29,565.27,0.3,408.79,703.51,704.39,25.12,222.53,136.92,31.49,404.63,3793.37,,,,,21,
2008,75.49,0.0,115.27,782.12,60.02,37.57,851.48,866.44,0.0,262.74,556.46,42.16,84.28,3734.03,,,,,19,
2009,29.56,0.0,143.06,704.14,157.32,951.76,530.9,367.97,0.0,233.39,330.98,345.36,7.89,3802.33,,,,,22,
2010,81.6,0.0,437.16,474.2,128.67,1023.46,249.29,7.7,0.0,96.65,328.05,181.8,44.33,3052.91,,,,,17,
2011,77.93,0.0,101.38,219.65,0.62,432.63,0.0,244.35,0.0,194.11,288.53,165.3,0.01,1724.51,,,,,14,
2012,213.82,0.0,95.35,149.52,48.83,316.83,0.0,75.33,0.0,20.09,0.0,130.64,0.0,1050.41,,,,,11,
2013,631.14,4.6,218.81,403.8,0.0,514.24,31.48,255.14,4.85,184.96,288.29,159.11,194.03,2890.45,,,,,16,12.0
2014,54.03,0.0,81.58,33.97,29.46,134.59,53.67,20.63,70.81,0.0,29.67,40.5,25.89,574.8,,,,,2,11.0
2015,163.55,0.0,56.61,11.98,14.31,163.26,32.89,49.61,7.74,0.01,25.21,29.26,73.34,627.77,,,,,3,10.0
2016,231.96,0.0,37.16,85.96,0.01,220.13,89.25,150.83,19.23,28.69,4.41,29.59,27.6,924.82,,,,,9,9.0
2017,335.63,0.0,0.01,29.75,0.0,224.68,0.2,67.52,0.04,0.05,5.28,0.0,10.93,674.09,,,,,6,8.0
2018,361.44,0.01,16.94,44.58,0.0,160.71,0.1,55.57,14.39,33.94,40.59,14.41,88.48,831.16,,,,,7,7.0
2019,95.14,0.15,21.36,16.83,0.74,90.59,1.45,64.0,1.03,13.2,0.03,0.0,9.57,314.09,,,,,1,6.0
2020,276.18,0.0,6.64,25.38,0.02,111.77,0.09,127.51,1.82,48.51,15.68,3.2,15.8,632.6,,,,,4,5.0
2021,241.72,0.0,3.85,35.38,0.0,74.29,12.25,98.06,25.85,32.08,0.0,10.97,124.48,658.93,,,,,5,4.0
2022,458.14,0.01,0.4,38.18,0.0,7.92,0.31,196.5,11.81,45.17,89.0,0.18,127.85,975.47,,,,,10,3.0
2023,224.06,0.0,50.15,47.36,0.0,31.36,0.37,125.08,5.83,4.65,0.17,0.14,377.31,866.48,,,,,8,2.0
2024,601.279624,0.009207,56.227742,63.335233,0.0,152.221835,1.00045,111.46731,0.524776,151.417792,13.619622,9.801954,212.018667,1372.924212,,,,,13,1.0
"Average,
1988–2024",,,,,,,,,,,,,,,,,,,,
"Average,
2022–2024",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well:,1.0,2.0,3/3A,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,Total,,,,,,
Pecent,,,,,,,,,,,,,,,,,,,,
2025,498.696678,0.0,31.188874,104.427334,0.0,219.043299,1.285854,125.976903,23.433852,145.17879,80.56384,63.918317,58.197953,1351.911694,,,,,12,
